id,name,address,latitude,longitude,distance,selected
ola-platform:5000065611133,Maruti Medicos,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.05 km,False
ola-platform:5000037518077,Vinayak Ayurvedic Bhandar,"Mankar Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.07 km,False
ola-platform:5000039820790,Sen Pharmacy,"Mankar Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.08 km,False
ola-platform:5000041689177,Shree Laxmi Medical Stores,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.08 km,False
ola-platform:5000065199920,Manasa Medical Stores,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.08 km,False
ola-platform:5000037649737,United Pharmacy,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.09 km,False
ola-platform:5000069035470,Binapani Medical Stores,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.09 km,False
ola-platform:5000062271735,Baidyanath Ayurvedic Medical Store,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.12 km,False
ola-platform:5000052394424,Swastik Medi Care,"Mankar Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.14 km,False
ola-platform:5000038155330,Apollo Pharmacy,"Old GT Rd,  Sukdal,  West Bengal,  713403,  India",,,0.14 km,False
ola-platform:5000041640274,New United Pharmacy,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.34 km,False
ola-platform:5000067326084,Banerjee Pharmacy,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.60 km,False
ola-platform:5000064403767,Apollo Pharmacy Budbud,"Dag No-605,  Khno-5797,  Mouza-Sukdal,  JL No-37,  G T Road,  Po+ps - Budbud,  Purba,  Bardhaman,  West Bengal,  713403,  India",,,0.72 km,False
ola-platform:5000052193234,Lokenath Medical Hall,"Old G. T. Road,  Budbud,  Ausgram - II,  Paschim Bardhaman,  West Bengal,  713403,  India",,,0.80 km,False
ola-platform:5000039881683,Gita Pharmacy. Dinabandhu Kundu,"Gita Pharmacy.. Dinabandhu Kundu,  Dumdumi,  West Bengal,  722139,  India",,,0.15 km,False
ola-platform:5000039958004,Soma Pharmacy,"Kashipur - Chatna Rd,  Jhantipahari,  West Bengal,  722137,  India",,,2.87 km,False
ola-platform:5000041204945,Jai Guru Medical,"Jamshedpur,  Golmuri-Cum-Jugsalai,  East Singhbhum,  Jharkhand,  831032,  India",,,97.38 km,False
ola-platform:5000062715255,Maha Laxmi Medical Store,"Railway Traffic Colony,  TaTa Nagar,  Khasmahal,  Jugsalai,  Jamshedpur,  Jharkhand,  832107,  India",,,97.55 km,False
ola-platform:5000041678300,Bengal Medical Store,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.22 km,False
ola-platform:5000053172924,Gita Medical Point,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.26 km,False
ola-platform:5000054377492,Somnath Medical Hall,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.31 km,False
ola-platform:5000043399144,Swasti Medical Store,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.36 km,False
ola-platform:5000035253255,MediCare Medicine Store,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.39 km,False
ola-platform:5000058095616,Safalya Medical,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.41 km,False
ola-platform:5000067803908,Gita Medical Point,"Manipur - Sirjam Station - Rangamatia Rd,  Raghunathpur,  West Bengal,  723133,  India",,,0.46 km,False
ola-platform:5000036504214,Dipti Medical Store,"Raghunathpur,  West Bengal,  723133,  India",,,0.49 km,False
ola-platform:5000065515579,Pal Medical Store,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.50 km,False
ola-platform:5000059528142,Dipti Medical Store,"Raghunathpur,  Raghunathpur - I,  Purulia,  West Bengal,  723133,  India",,,0.68 km,False
ola-platform:5000048405731,Somnath Medical Hall,"Raghunathpur,  West Bengal,  723133,  India",,,0.68 km,False
ola-platform:5000056995068,Homeo Clinic,"Raghunathpur,  West Bengal,  723133,  India",,,0.77 km,False
ola-platform:5000064031368,Jagadhatri Medical,"Barakar Road,  Oppsite Trishna Restaurent,  Raghunathpur North,  Raghunathpur,  West Bengal,  723133,  India",,,1.02 km,False
ola-platform:5000065034208,Sengupta Medical Hall,"Near Electric Sub Station,  New Bus Stand,  Adra,  Road,  Raghunathpur,  West Bengal,  723133,  India",,,1.17 km,False
ola-platform:5000046209368,Medicine Emporium,"Sh5,  Anara,  Para,  Purulia,  West Bengal,  723126,  India",,,0.07 km,False
ola-platform:5000058728763,Neelam Medical Hall,"Anara,  Chapari,  West Bengal,  723126,  India",,,0.32 km,False
ola-platform:5000063367779,Life Care Medical- Para,"Road,  Para,  Dubra,  West Bengal,  723155,  India",,,1.04 km,False
ola-platform:5000058541115,SastaSundar Healthbuddy SM Care,"Barjora,  Bankura,  West Bengal,  722202,  India",,,0.64 km,False
